Timestamp,Category,Question,Selected Option,Correct Option,Is Correct,Attempts
2024-11-12 17:11:37,Literature,"Which character says 'To be, or not to be: that is the question' in Shakespeare's Hamlet?",1,3,False,3
2024-11-12 17:11:58,History,Which ancient civilization built the Great Pyramid of Giza?,4,4,True,1
2024-11-12 17:12:01,Literature,Who wrote the classic novel 'Pride and Prejudice'?,4,4,True,1
2024-11-12 17:12:22,Science,Which of the following scientists is credited with discovering gravity?,1,3,False,3
2024-11-12 17:12:24,History,Which ancient civilization built the Great Pyramid of Giza?,4,3,False,4
2024-11-12 17:12:25,Technology,Which programming language was developed by Sun Microsystems?,4,1,False,2
2024-11-12 17:12:26,Literature,Who wrote the classic novel 'Pride and Prejudice'?,2,3,False,2
2024-11-12 17:12:29,Science,What is the largest planet in our solar system?,4,3,False,4
2024-11-12 17:12:32,Technology,What is the primary function of a CPU (Central Processing Unit)?,4,3,False,4
2024-11-12 17:12:36,Literature,"Which character says 'To be, or not to be: that is the question' in Shakespeare's Hamlet?",4,3,False,4
2024-11-12 17:12:38,History,Who was the leader of the Soviet Union during World War II?,4,3,False,4
2024-11-12 17:13:10,Science,Which of the following scientists is credited with discovering gravity?,1,2,False,2
2024-11-12 17:13:10,Technology,What is the primary function of a CPU (Central Processing Unit)?,3,4,False,2
2024-11-12 17:13:11,Literature,Who wrote the classic novel 'Pride and Prejudice'?,1,2,False,2
2024-11-12 17:13:12,History,Who was the leader of the Soviet Union during World War II?,3,1,False,3
2024-11-12 17:13:14,History,Which ancient civilization built the Great Pyramid of Giza?,2,4,False,3
2024-11-12 17:13:15,Literature,"Which character says 'To be, or not to be: that is the question' in Shakespeare's Hamlet?",1,4,False,4
2024-11-12 17:13:17,Technology,Which programming language was developed by Sun Microsystems?,1,4,False,4
2024-11-12 17:13:17,Science,What is the largest planet in our solar system?,1,1,True,1
2024-11-12 17:13:30,History,Who was the leader of the Soviet Union during World War II?,1,2,False,2
2024-11-12 17:13:31,Science,What is the largest planet in our solar system?,3,4,False,2
2024-11-12 17:13:32,History,Which ancient civilization built the Great Pyramid of Giza?,1,2,False,2
2024-11-12 17:13:33,Science,Which of the following scientists is credited with discovering gravity?,3,1,False,3
2024-11-12 17:13:33,Technology,Which programming language was developed by Sun Microsystems?,2,2,True,1
2024-11-12 17:13:35,Literature,Who wrote the classic novel 'Pride and Prejudice'?,3,2,False,4
2024-11-12 17:13:36,Technology,What is the primary function of a CPU (Central Processing Unit)?,3,1,False,3
2024-11-12 17:13:36,Literature,"Which character says 'To be, or not to be: that is the question' in Shakespeare's Hamlet?",2,2,True,1
2024-11-12 17:13:45,Literature,Who wrote the classic novel 'Pride and Prejudice'?,1,1,True,1
2024-11-12 17:13:46,Technology,What is the primary function of a CPU (Central Processing Unit)?,2,3,False,2
2024-11-12 17:13:47,Literature,"Which character says 'To be, or not to be: that is the question' in Shakespeare's Hamlet?",4,2,False,3
2024-11-12 17:13:48,History,Which ancient civilization built the Great Pyramid of Giza?,3,4,False,2
2024-11-12 17:13:48,Science,Which of the following scientists is credited with discovering gravity?,1,1,True,1
2024-11-12 17:13:49,Technology,Which programming language was developed by Sun Microsystems?,2,1,False,4
2024-11-12 17:13:50,History,Who was the leader of the Soviet Union during World War II?,2,2,True,1
2024-11-12 17:13:50,Science,What is the largest planet in our solar system?,3,3,True,1
2024-11-12 17:13:59,Literature,"Which character says 'To be, or not to be: that is the question' in Shakespeare's Hamlet?",1,4,False,4
2024-11-12 17:14:01,History,Which ancient civilization built the Great Pyramid of Giza?,1,4,False,4
2024-11-12 17:14:02,Technology,What is the primary function of a CPU (Central Processing Unit)?,1,3,False,3
2024-11-12 17:14:02,Science,Which of the following scientists is credited with discovering gravity?,4,1,False,2
2024-11-12 17:14:03,Science,What is the largest planet in our solar system?,2,4,False,3
2024-11-12 17:14:04,Literature,Who wrote the classic novel 'Pride and Prejudice'?,1,1,True,1
2024-11-12 17:14:04,Technology,Which programming language was developed by Sun Microsystems?,2,2,True,1
2024-11-12 17:14:05,History,Who was the leader of the Soviet Union during World War II?,3,3,True,1
2024-11-12 17:14:38,Science,What is the largest planet in our solar system?,2,1,False,3
2024-11-12 17:14:50,Science,Which of the following scientists is credited with discovering gravity?,1,3,False,3
2024-11-12 17:15:08,Science,Which of the following scientists is credited with discovering gravity?,1,1,True,1
2024-11-12 17:15:11,Science,What is the largest planet in our solar system?,1,1,True,1
2024-11-12 17:15:23,Science,Which of the following scientists is credited with discovering gravity?,1,1,True,1
2024-11-12 17:15:24,Science,What is the largest planet in our solar system?,1,1,True,1
2024-11-12 17:15:46,Science,What is the largest planet in our solar system?,2,2,True,1
2024-11-12 17:15:47,Science,Which of the following scientists is credited with discovering gravity?,1,1,True,1
2024-11-12 17:16:06,Science,What is the largest planet in our solar system?,3,3,True,1
2024-11-12 17:16:07,Science,Which of the following scientists is credited with discovering gravity?,1,1,True,1
2024-11-12 17:16:15,Science,Which of the following scientists is credited with discovering gravity?,3,3,True,1
2024-11-12 17:16:16,Science,What is the largest planet in our solar system?,1,1,True,1
2024-11-12 17:16:26,Science,What is the largest planet in our solar system?,2,2,True,1
2024-11-12 17:16:28,Science,Which of the following scientists is credited with discovering gravity?,3,3,True,1
2024-11-12 17:16:39,Science,What is the largest planet in our solar system?,3,3,True,1
2024-11-12 17:16:41,Science,Which of the following scientists is credited with discovering gravity?,4,4,True,1
2024-11-12 17:16:57,Science,What is the largest planet in our solar system?,2,2,True,1
2024-11-12 17:16:58,Science,Which of the following scientists is credited with discovering gravity?,3,3,True,1
